url,label
http://instagram-clone-login.vercel.app/,phishing
https://www.robiox.com.gr/users/548531114/profile,phishing
http://map-iphone.com/QPP,phishing
http://www.tiny.cc/jd94101/,phishing
http://thwmigj.yudasise.com/,phishing
https://www.robiox.com.py/users/241344615475/profile,phishing
https://codenf.top/,phishing
https://cliente.oficialrodovia.com/,phishing
https://rodoviasdobrasil.digital/,phishing
https://www.apple-website-clone-liard.vercel.app/,phishing
http://www.ekucoiloguss.godaddysites.com/,phishing
https://njj.standard.us-east-1.oortstorages.com/fitsal.web?eta=kalissys@ad0153b03ed34eb9b96ed1ae328d51e3744b.net,phishing
https://coinbase_x_login.godaddysites.com/,phishing
http://www.coinbase_x_login.godaddysites.com/,phishing
https://s4w.in/www-roblox-com-users-3622442292687354-profile,phishing
http://bhuwanyogii.github.io/AmazonFrontPage-html-css-,phishing
http://track-device.help/QwJ,phishing
http://www.authorizedfixednode.vercel.app/,phishing
https://ig.do/roblox-com-users-334614924-profile,phishing
https://www.109tyesy.vercel.app/,phishing
http://authorizedfixednode.vercel.app/,phishing
http://instagram-login-page-two.vercel.app/,phishing
https://aicc108-demo.pages.dev/title/80216376.html,phishing
https://aicc108-demo.pages.dev/title/82706180.html,phishing
https://hotdoc-rf-pending.com/,phishing
https://rxppyy.github.io/discord-web,phishing
http://netcoins-login-sso-ca-x.webflow.io/,phishing
http://onlineausde.andhrauniversity.edu.in/studentLogin/Payments/,phishing
http://bafkreihidbjzgt4de5atwlyoqjqhxmzcabatdqn4kksec6f44ayjphls2q.ipfs.dweb.link/,phishing
https://bafkreig6osgy7ndyfux3ma7lukuwogvviqc6nmpd62qrsvsamsgzg5hawa.ipfs.dweb.link/,phishing
https://www.mybluecheck-verify-manager.sbs/,phishing
https://staging.citiretailservices.citibankonlline.com/?ch=1&js=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJKb2tlbiIsImV4cCI6MTc4MTE3MTY5MywiaWF0IjoxNzgxMTY0NDkzLCJpc3MiOiJKb2tlbiIsImpzIjoxLCJqdGkiOiIzMnJ2ZmFyZ25sNWd1cWN0ZHNiMWs0NDQiLCJuYmYiOjE3ODExNjQ0OTMsInRzIjoxNzgxMTY0NDkzMzUxMjA2fQ.8dMp0i-GRON3ZSd6v3LfdofXKKWfYRN71asdd1qTY5s&sid=d4a1b9f1-656a-11f1-9283-0930d8bd4552,phishing
http://fr.bjjizhuangxiang.com/,phishing
https://payal135001-ship-it.github.io/amazon-project/,phishing
